specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
2.41296e+18,2143.0,54184.0,553.0,223.0683,24.60741,0.1029512,10.38055,10.34671
2.28456e+18,2029.0,53819.0,400.0,195.5952,31.96623,0.06247038,29.25788,9.796761
2.97351e+18,2641.0,54230.0,28.0,204.7109,18.58839,0.1123361,7.230496,10.39637
1.01788e+18,904.0,52381.0,233.0,153.8587,53.46371,0.1278945,14.47636,10.92737
1.46044e+18,1297.0,52963.0,555.0,128.8566,7.012856,0.04560647,11.59523,9.633104
2.94888e+18,2619.0,54506.0,545.0,201.6906,19.887970000000006,0.04373629,16.047279999999994,8.727865
1.14289e+18,1015.0,52734.0,372.0,173.0292,55.36056,0.06364065,6.623569,9.740389
1.39397e+18,1238.0,52761.0,368.0,154.9935,9.68221,0.1167129,9.21332,9.807837
2.79128e+18,2479.0,54174.0,623.0,162.6336,18.77554,0.1346088,14.36866,10.18891
1.97949e+18,1758.0,53084.0,562.0,127.7544,8.660903,0.1135968,14.341879999999998,10.54322
1.30839e+18,1162.0,52668.0,339.0,217.4696,55.76968000000001,0.08116013,12.96241,10.01596
1.36134e+18,1209.0,52674.0,454.0,130.5318,33.21942,0.1080582,5.7663660000000005,10.15125
1.0438e+18,927.0,52577.0,337.0,115.5108,23.77209,0.06570628,17.980610000000006,10.07986
2.94438e+18,2615.0,54483.0,539.0,194.1485,20.61366,0.13286679999999998,14.61449,10.33334
1.55152e+18,1378.0,53061.0,93.0,209.5831,38.71513,0.06294259,10.36196,9.562353
2.58508e+18,2296.0,53735.0,67.0,146.1704,23.55953,0.06746627,6.87533,9.611482
6.48564e+17,576.0,52325.0,165.0,157.5712,3.834784,0.06701181,14.96315,10.54807
2.90032e+18,2576.0,54086.0,10.0,137.6054,11.17923,0.06580601,7.159572,10.07798
1.93095e+18,1715.0,54212.0,106.0,225.5069,9.148946,0.0292406,17.03756,9.521523
1.03705e+18,921.0,52380.0,347.0,222.729,-1.652516,0.1121184,8.497346,10.6427
2.36555e+18,2101.0,53858.0,133.0,204.4795,36.08234,0.05444921,10.10618,9.658926
7.04973e+17,626.0,52057.0,581.0,248.2,45.48808,0.05788786,12.50685,10.20549
2.27107e+18,2017.0,53474.0,485.0,205.8062,28.89053,0.1053051,9.870012,10.31481
1.98046e+18,1759.0,53081.0,17.0,130.5807,8.122313,0.1045065,9.150618,9.945413
2.56596e+18,2279.0,53708.0,120.0,132.3852,17.27448,0.08441212,9.797494,10.0828
1.07637e+18,956.0,52401.0,51.0,190.035,58.99632,0.16942100000000002,7.5245630000000014,10.5899
2.85201e+18,2533.0,54585.0,366.0,247.5842,12.62619,0.07723415,19.70063,10.43559
2.74048e+18,2434.0,53826.0,137.0,136.5633,13.77776,0.08696149,8.985474,9.767812
2.76984e+18,2460.0,54616.0,453.0,202.1015,67.71734000000001,0.0552869,28.19876,8.079663
1.19246e+18,1059.0,52618.0,469.0,116.7546,28.50682,0.02250188,10.2499,9.288845
2.22381e+18,1975.0,53734.0,588.0,192.2619,31.884490000000003,0.07885747,10.99155,9.98329
2.41407e+18,2144.0,53770.0,520.0,222.7652,22.87357,0.1175731,9.662777,10.17635
2.6369e+18,2342.0,53742.0,137.0,148.1037,25.83985,0.1079246,12.16059,10.45552
1.09336e+18,971.0,52644.0,398.0,185.9729,50.09973,0.2035799,11.57582,10.64583
1.42768e+18,1268.0,52933.0,141.0,129.2323,28.75056,0.05235231,5.005925,9.450325
9.70582e+17,862.0,52325.0,206.0,124.9377,32.01825,0.13805979999999998,9.592085,10.5241
2.42866e+18,2157.0,54242.0,340.0,228.552,27.20397,0.08143678,15.29653,10.37047
3.89692e+17,346.0,51693.0,474.0,243.909,0.5938451,0.1548826,13.10885,10.86929
2.01553e+18,1790.0,53876.0,611.0,192.4572,8.145094,0.1102328,6.876631,10.2854
5.68691e+17,505.0,52317.0,407.0,158.541,3.113904,0.1531845,9.553327,10.58475
