specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
3.87E+17,344,51693,454,241.0617,1.145008,0.1176502,8.206972,10.18238
2.36E+18,2092,53460,380,167.2362,32.26266,0.1079073,11.69116,10.4404
9.71E+17,862,52325,616,126.9679,34.17479,0.2039979,14.34032,10.63421
1.63E+18,1450,53120,565,184.8957,42.80764,0.05228312,9.113151,9.450624
1.51E+18,1342,52793,609,253.1239,30.52568,0.1381807,7.567003,10.52357
1.83E+18,1627,53473,51,188.272,6.735277,0.08144343,19.00435,10.36744
1.53E+18,1357,53034,488,153.8072,40.97415,0.1549008,8.791443,10.86448
1.86E+18,1656,53533,626,242.7989,24.99845,0.1102314,8.560782,10.29747
3.13E+18,2776,54554,353,219.5567,19.10447,0.1530606,10.55629,10.58185
2.49E+18,2207,53558,529,248.2517,18.13244,0.08832712,8.952605,10.00288
1.00E+18,892,52378,552,123.359,35.97392,0.02112971,12.54651,8.657716
2.41E+18,2138,53757,449,219.7121,30.5804,0.1019153,12.86039,10.30802
1.05E+18,929,52581,600,121.3428,27.14163,0.1399396,15.39985,10.78363
2.06E+18,1829,53494,614,222.2023,6.785717,0.1149736,10.18987,10.56335
9.37E+17,832,52312,249,137.4685,43.87888,0.09349865,7.596609,9.733146
1.64E+18,1458,53119,631,196.2112,42.68581,0.06334358,19.83803,10.13652
1.34E+18,1187,52708,294,129.1629,4.988119,0.1005434,8.020536,10.73314
2.90E+18,2574,54084,415,132.4946,11.38846,0.06638754,8.130157,9.952616
1.15E+18,1017,52706,44,180.2767,54.06826,0.05595502,9.413405,10.04344
1.15E+18,1019,52707,496,184.8349,55.1484,0.1031758,8.72759,10.76156
2.99E+18,2655,54184,574,180.4816,25.90381,0.1001379,15.21846,10.33067
2.39E+18,2123,53793,85,212.0199,26.00553,0.1113714,11.05224,10.54979
5.55E+17,493,51957,318,179.4754,67.15775,0.1161699,14.71813,10.95164
1.88E+18,1673,53462,134,216.6602,47.21013,0.07294139,14.54258,9.689105
1.34E+18,1190,52670,571,134.1854,5.569219,0.2214738,6.209531,10.9553
2.48E+18,2202,53566,458,246.1539,15.50724,0.1439568,12.91364,10.21641
5.00E+17,444,51883,574,128.512,53.42401,0.08332333,13.60451,10.25955
1.12E+18,996,52641,542,152.9577,6.829014,0.07778252,14.49771,10.2837
8.46E+17,751,52251,162,1.84098,14.75136,0.1180706,13.00038,10.7311
2.74E+18,2432,54052,443,135.0141,17.54998,0.1110874,10.3979,10.7598
2.08E+18,1848,54180,150,233.5186,27.11068,0.08724642,9.608168,10.26712
1.53E+18,1356,53033,50,151.2747,38.59012,0.06358378,10.53572,10.21003
2.41E+18,2140,53858,186,220.4907,22.43339,0.08554952,13.3122,10.88249
2.05E+18,1823,53886,166,242.5067,4.73002,0.09593169,23.01538,11.03225
1.98E+18,1761,53376,187,176.3436,14.3356,0.09794856,12.74896,9.983462
1.12E+18,995,52731,255,149.4457,5.472266,0.05867368,8.251729,9.190223
3.32E+18,2953,54560,457,231.1015,2.307295,0.08268561,6.85767,10.08382
1.53E+18,1361,53047,45,161.1183,41.37886,0.09868445,7.767467,9.934454
1.43E+18,1268,52933,181,128.705,28.87141,0.08680847,20.20431,10.84012
2.98E+18,2651,54507,343,197.3882,22.55512,0.1811992,13.7796,10.55298
2.83E+18,2512,53877,400,177.5475,17.39488,0.1094979,10.44213,10.51404
1.17E+18,1040,52722,630,201.0915,54.47229,0.1743955,16.54805,10.47856
1.49E+18,1319,52791,307,196.1115,56.50599,0.1107092,6.810327,10.19087
2.82E+18,2508,53875,303,174.5599,16.7647,0.08447351,18.85629,10.32956
1.49E+18,1324,53088,126,211.8901,53.98295,0.07844817,14.19116,9.742399
